post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47709197,US defense official overseeing AI reaped millions selling xAI stock,technology,41,6,malshe,2026-04-10 09:39:38,0.14285714285714285,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,397,47,WerWolv,2026-04-10 09:39:40,0.11809045226130653,True
47689237,US cities are axing Flock Safety surveillance technology,technology,746,422,giuliomagnifico,2026-04-10 09:39:49,0.5649263721552878,True
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,187,221,speckx,2026-04-10 09:39:51,1.175531914893617,True
47679121,Project Glasswing: Securing critical software for the AI era,technology,1510,825,Ryan5453,2026-04-10 09:39:54,0.5459960291197882,True
47696035,John Deere to pay $99M in right-to-repair settlement,technology,379,124,CharlesW,2026-04-10 09:39:54,0.3263157894736842,True
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,415,194,nickvec,2026-04-10 09:39:58,0.46634615384615385,True
47656518,Your File System Is Already A Graph Database,technology,181,75,alxndr,2026-04-10 09:40:00,0.41208791208791207,True
47700460,Ask HN: What are you building that's not AI related?,technology,121,141,meander_water,2026-04-10 09:40:04,1.1557377049180328,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,323,56,chrsw,2026-04-10 09:40:06,0.1728395061728395,True
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,62,20,bjord,2026-04-10 09:40:09,0.31746031746031744,False
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,213,212,bundie,2026-04-10 09:40:11,0.9906542056074766,True
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,24,6,testing22321,2026-04-10 09:41:02,0.24,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,387,368,chabons,2026-04-10 09:41:44,0.9484536082474226,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,614,261,zixuanlimit,2026-04-10 09:42:05,0.424390243902439,True
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,8,3,bookofjoe,2026-04-10 09:42:20,0.3333333333333333,False
47680124,IPv6 is the only way forward,worldnews,102,318,quaintdev,2026-04-10 09:42:25,3.087378640776699,False
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,3,topspin,2026-04-10 09:42:30,0.42857142857142855,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 09:42:34,0.22608695652173913,False
47709123,How Iran's Information War Machine Operates Online,worldnews,5,0,mikhael,2026-04-10 09:42:47,0.0,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,123,19,ductionist,2026-04-10 09:42:51,0.1532258064516129,False
